"V1.nome","V2.nome","V3.nome","V4.nome","V5.nome","V6.nome","V7.nome","V8.nome","V9.nome","V10.nome","origem.nome","origem","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"Reserva PR","Santa Margarida MG","Bannach PA","Vale do Paraíso RO","Imbaú PR","Palmital PR","Isaías Coelho PI","Campo Novo de Rondônia RO","Passa Sete RS","Sete Quedas MS","Seringueiras RO",1101500,4212,2919,168,52,4056,4160,763,31,4906,5169
"Rio Casca MG","Felixlândia MG","Nioaque MS","Mampituba RS","Pedras Altas RS","Argirita MG","Piau MG","Novo São Joaquim MT","Crucilândia MG","Gaúcha do Norte MT","Teixeirópolis RO",1101559,2883,2529,5153,4843,4911,2291,2828,5261,2470,5222
"Inácio Martins PR","Governador Jorge Teixeira RO","Vale do Anari RO","Corumbiara RO","Miranda MS","Urupá RO","Machadinho D'Oeste RO","Piedade de Caratinga MG","Mãe do Rio PA","Pedra Branca do Amapari AP","Theobroma RO",1101609,4058,36,51,7,5150,50,13,2829,215,297
"Piedade de Caratinga MG","Inácio Martins PR","Theobroma RO","Mãe do Rio PA","Mazagão AP","Pedra Branca do Amapari AP","Pombal PB","Corumbiara RO","Campos Lindos TO","Nova União RO","Urupá RO",1101708,2829,4058,49,215,304,297,1392,7,340,41
"Governador Jorge Teixeira RO","Theobroma RO","Corumbiara RO","Inácio Martins PR","Miranda MS","Ibirapuã BA","Urupá RO","Frei Paulo SE","Machadinho D'Oeste RO","Barra de São Miguel AL","Vale do Anari RO",1101757,36,49,7,4058,5150,1981,50,1772,13,1655
"Bannach PA","Santa Margarida MG","Seringueiras RO","Vargem SC","Sapucaia PA","Santa Rita de Minas MG","Santa Leopoldina ES","Reserva PR","Imbaú PR","Taquaritinga do Norte PE","Vale do Paraíso RO",1101807,168,2919,47,4594,278,2935,3158,4212,4056,1633
"Iracema RR","Paranhos MS","Feira Nova PE","Serra Azul de Minas MG","Águas Vermelhas MG","Diogo de Vasconcelos MG","Bandeira MG","Alto Alegre RR","São Sebastião do Maranhão MG","Olindina BA","Acrelândia AC",1200013,144,5158,1524,3025,2253,2484,2300,138,3001,2110
"Domingos Mourão PI","Primavera PE","Lastro PB","Arataca BA","Itaobim MG","Floresta do Piauí PI","Mato Grosso PB","Ladainha MG","Matinhas PB","Aurelino Leal BA","Assis Brasil AC",1200054,741,1593,1346,1854,2620,748,1360,2667,1359,1856
"Nova União RO","Medeiros Neto BA","Monsenhor Hipólito PI","Mazagão AP","Itajuípe BA","Mãe do Rio PA","Augusto Severo RN","Cipotânea MG","Matipó MG","Goianésia do Pará PA","Brasiléia AC",1200104,41,2081,797,304,2011,215,1087,2423,2717,202
"São Domingos do Cariri PB","Passagem Franca do Piauí PI","Trairão PA","Alto Alegre dos Parecis RO","Porto Acre AC","São José da Safira MG","Darcinópolis TO","Gilbués PI","Santa Rita do Itueto MG","Lizarda TO","Bujari AC",1200138,1421,818,286,26,74,2984,354,756,2937,380
"Itapiratins TO","Cerro Azul PR","Mundo Novo BA","Água Boa MG","Jequeri MG","Tupiratins TO","Medicilândia PA","Coronel Domingos Soares PR","Jacareacanga PA","Senhora do Porto MG","Capixaba AC",1200179,372,3984,2093,2249,2647,447,221,3997,211,3021
"Senhor do Bonfim BA","Açu RN","Tianguá CE","Bacabal MA","Aracati CE","Jacobina BA","Jijoca de Jericoacoara CE","Jardim do Seridó RN","Açailândia MA","São Raimundo Nonato PI","Cruzeiro do Sul AC",1200203,2196,1076,1064,469,903,2034,988,1137,450,872
"Vale de São Domingos MT","Taquarussu MS","Cabixi RO","Barra dos Coqueiros SE","Alvorada D'Oeste RO","Bocaina do Sul SC","Cordisburgo MG","Calçoene AP","Nova Viçosa BA","Divinésia MG","Epitaciolândia AC",1200252,5311,5174,3,1757,25,4348,2451,298,2107,2486
