"V1.nome","V2.nome","V3.nome","V4.nome","V5.nome","V6.nome","V7.nome","V8.nome","V9.nome","V10.nome","origem.nome","origem","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"Riacho Frio PI","Jurema PI","Santana de Mangueira PB","Curralinhos PI","São Félix de Balsas MA","Campo Largo do Piauí PI","Nova Santa Rita PI","Arraial PI","Sebastião Barros PI","Santa Cruz do Arari PA","Morro Cabeça no Tempo PI",2206654,"2208858","2205532","2513505","2203255","2110807","2202174","2207959","2201002","2210623","1506401"
"Tanque D'Arca AL","São José dos Ramos PB","Lagoa de Pedras RN","Cajueiro da Praia PI","Borborema PB","Apuarema BA","Jacuípe AL","Cubati PB","Pedro Régis PB","Palmópolis MG","Morro do Chapéu do Piauí PI",2206670,"2709004","2514453","2406304","2202083","2502706","2901957","2703502","2505006","2512721","3146750"
"Bonito de Minas MG","São João das Missões MG","Campo Largo do Piauí PI","Milton Brandão PI","Milagres do Maranhão MA","Alvarães AM","Queimada Nova PI","Dois Riachos AL","Joaquim Pires PI","Macajuba BA","Murici dos Portelas PI",2206696,"3108255","3162450","2202174","2206357","2106672","1300029","2208650","2702504","2205409","2919603"
"Umbuzeiro PB","Santana do São Francisco SE","Jatobá MA","Água Branca PB","Ilha Grande PI","Santa Rosa do Piauí PI","Granjeiro CE","Desterro PB","Sítio Novo RN","Afonso Bezerra RN","Nazaré do Piauí PI",2206704,"2517001","2806404","2105450","2500106","2204659","2209377","2304806","2505402","2413706","2400307"
"Japonvar MG","Altaneira CE","Botumirim MG","Umari CE","Jaçanã RN","Antonina do Norte CE","Granito PE","Luís Gomes RN","Chorrochó BA","Tasso Fragoso MA","Nazária PI",2206720,"3135357","2300606","3108503","2313708","2405009","2300804","2606309","2407005","2907707","2112001"
"Santa Maria RN","Lagoa do Piauí PI","Aricanduva MG","Jerumenha PI","Santa Rosa do Tocantins TO","Logradouro PB","Coronel Ezequiel RN","Feira Nova SE","São José de Espinharas PB","Serrinha dos Pintos RN","Nossa Senhora de Nazaré PI",2206753,"2409332","2205581","3104452","2205300","1718907","2508554","2402808","2802205","2514404","2413557"
"Feira Nova do Maranhão MA","Salgadinho PE","Nova Itarana BA","Campo Grande AL","Porto Walter AC","São João do Arraial PI","Lagoa de São Francisco PI","Coité do Nóia AL","São Francisco do Maranhão MA","Jacobina do Piauí PI","Nossa Senhora dos Remédios PI",2206803,"2104073","2612109","2922805","2701506","1200393","2209971","2205573","2702009","2110906","2205151"
"Orizânia MG","Camalaú PB","Serra Redonda PB","Pilões PB","Minador do Negrão AL","Rio Grande do Piauí PI","Lagoa de Dentro PB","Serraria PB","Vereda BA","Itaquara BA","Novo Oriente do Piauí PI",2206902,"3145877","2503902","2515807","2511608","2705309","2209005","2508208","2515906","2933257","2916708"
"Poço Dantas PB","Curral de Cima PB","Bonfim do Piauí PI","Mãe D'Água PB","Francisco Macedo PI","Caridade do Piauí PI","Belém do Piauí PI","Flores do Piauí PI","Parazinho RN","Tamboril do Piauí PI","Novo Santo Antônio PI",2206951,"2512036","2505279","2201929","2508703","2204154","2202554","2201572","2203800","2408805","2210953"
"Petrolândia PE","Apodi RN","Santa Cruz RN","Santo Antônio do Tauá PA","Cachoeira BA","São Gonçalo dos Campos BA","Riachão do Jacuípe BA","São José do Egito PE","Capim Grosso BA","Surubim PE","Oeiras PI",2207009,"2611002","2401008","2411205","1507003","2904902","2929305","2926301","2613602","2906873","2614501"
"Serra Grande PB","Riacho da Cruz RN","Passagem RN","Juarina TO","Lagoa do Tocantins TO","Salgadinho PB","Porto Alegre do Piauí PI","João Costa PI","Cajazeiras do Piauí PI","Senador Georgino Avelino RN","Olho D'Água do Piauí PI",2207108,"2515708","2410702","2409209","1711803","1711951","2513000","2208551","2205359","2202075","2413201"
"Brejo Grande SE","Terezinha PE","Acauã PI","Marcação PB","Jaramataia AL","Bonfim do Piauí PI","Santa Cecília PB","Caém BA","São José da Vitória BA","Manaíra PB","Padre Marcos PI",2207207,"2800704","2615102","2200053","2509057","2703700","2201929","2513158","2905107","2929354","2509008"
"Sítio Novo RN","Maurilândia do Tocantins TO","Santa Cruz dos Milagres PI","São José do Bonfim PB","Nova Iorque MA","Francinópolis PI","Japi RN","Santa Inês PB","São Francisco PB","Canhoba SE","Paes Landim PI",2207306,"2413706","1712801","2209153","2514602","2107308","2204006","2405405","2513356","2513984","2801108"
"Barreiras do Piauí PI","Barcelona RN","Jardim de Angicos RN","Riachão do Bacamarte PB","Coivaras PI","São João da Canabrava PI","Porto Alegre do Piauí PI","Jundiá AL","Canhoba SE","Congonhas do Norte MG","Pajeú do Piauí PI",2207355,"2201309","2401503","2405504","2512754","2202737","2209856","2208551","2703908","2801108","3118106"
"São José do Piauí PI","Jundiá AL","Jussari BA","Bonfim do Piauí PI","Calumbi PE","Dirceu Arcoverde PI","Marcolândia PI","Feliz Deserto AL","Riachão do Bacamarte PB","Jandaíra RN","Palmeira do Piauí PI",2207405,"2210201","2703908","2918555","2201929","2603405","2203354","2205953","2702702","2512754","2405108"
"Jequiá da Praia AL","Novo Triunfo BA","Sítio Novo MA","Ipecaetá BA","Matias Olímpio PI","Salgado de São Félix PB","São Miguel do Tapuio PI","Abaré BA","Tonantins AM","Parnaguá PI","Palmeirais PI",2207504,"2703759","2923050","2111805","2913804","2206100","2513109","2210409","2900207","1304237","2207603"
"Brejo do Piauí PI","Joca Marques PI","Recursolândia TO","Pavussu PI","Massapê do Piauí PI","Pau D'Arco do Piauí PI","São João da Fronteira PI","Damião PB","Belo Monte AL","Lastro PB","Paquetá PI",2207553,"2201988","2205458","1718501","2207850","2206050","2207793","2209872","2505352","2700904","2508406"
"Buriti dos Montes PI","Monte Alegre do Piauí PI","Pureza RN","Pilar PB","Banzaê BA","Salgado de São Félix PB","Cabeceiras do Piauí PI","Matias Olímpio PI","Cristalândia do Piauí PI","Gongogi BA","Parnaguá PI",2207603,"2202026","2206605","2410405","2511509","2902658","2513109","2202059","2206100","2203008","2911501"
"Queimados RJ","Cabo de Santo Agostinho PE","Simões Filho BA","Camaragibe PE","Vespasiano MG","Trindade GO","Patos PB","Iguatu CE","Castanhal PA","Francisco Morato SP","Parnaíba PI",2207702,"3304144","2602902","2930709","2603454","3171204","5221403","2510808","2305506","1502400","3516309"
"Lizarda TO","Darcinópolis TO","São José da Safira MG","São José do Jacuri MG","São Miguel do Aleixo SE","Imbé de Minas MG","Manoel Urbano AC","Almadina BA","Cipotânea MG","Palmeirante TO","Passagem Franca do Piauí PI",2207751,"1712405","1706506","3163003","3163508","2807006","3130556","1200344","2900900","3116308","1715705"
"Geminiano PI","Graça Aranha MA","Nazarezinho PB","Tanque D'Arca AL","Manoel Emídio PI","Vieirópolis PB","São José de Caiana PB","Lagoa PB","Sucupira do Riachão MA","Arraial PI","Patos do Piauí PI",2207777,"2204352","2104701","2510006","2709004","2205904","2517209","2514305","2508109","2111953","2201002"
"Lagoa do Barro do Piauí PI","Pavussu PI","Recursolândia TO","Aroeiras do Itaim PI","Ribeira do Piauí PI","São Miguel do Fidalgo PI","São Roberto MA","Joca Marques PI","Lagoa de São Francisco PI","Paquetá PI","Pau D'Arco do Piauí PI",2207793,"2205565","2207850","1718501","2200954","2208874","2210391","2111672","2205458","2205573","2207553"
"Santa Maria do Pará PA","Urandi BA","Alcobaça BA","Itarantim BA","Ubaitaba BA","Itajuípe BA","Agrestina PE","Cupira PE","Cuité PB","Belmonte BA","Paulistana PI",2207801,"1506609","2932606","2900801","2916807","2932200","2915502","2600302","2605004","2505105","2903409"
"Ribeira do Piauí PI","Pau D'Arco do Piauí PI","Lastro PB","Matinhas PB","São Miguel do Fidalgo PI","Frei Lagonegro MG","Lajedinho BA","Campo Alegre do Fidalgo PI","Aroeiras do Itaim PI","Floresta do Piauí PI","Pavussu PI",2207850,"2208874","2207793","2508406","2509339","2210391","3126950","2919009","2202117","2200954","2203859"
"Inhambupe BA","Itabaianinha SE","Maragogi AL","Bonito PE","Remanso BA","Eldorado dos Carajás PA","Eirunepé AM","Ponta de Pedras PA","Irituia PA","Itaporanga D'Ajuda SE","Pedro Ii PI",2207900,"2913705","2803005","2704500","2602308","2926004","1502954","1301407","1505700","1503507","2803203"
"João Costa PI","Riachinho TO","Riachão PB","São Sebastião do Tocantins TO","Nova Colinas MA","Olho D'Água do Piauí PI","Sebastião Leal PI","Venha-Ver RN","Capitão Gervásio Oliveira PI","Socorro do Piauí PI","Pedro Laurentino PI",2207934,"2205359","1718550","2512747","1720309","2107258","2207108","2210631","2414753","2202455","2210904"
"Jurema PI","Pedra Grande RN","São Félix de Balsas MA","Curralinhos PI","São João do Tigre PB","São José de Princesa PB","São José do Divino PI","Jatobá do Piauí PI","Cajazeirinhas PB","Minador do Negrão AL","Nova Santa Rita PI",2207959,"2205532","2409506","2110807","2203255","2514107","2514552","2210052","2205276","2503753","2705309"
"Floriano PI","Seropédica RJ","Balsas MA","Cáceres MT","Saquarema RJ","Santo Antônio de Jesus BA","Guapimirim RJ","Eusébio CE","Ponta Porã MS","São Pedro da Aldeia RJ","Picos PI",2208007,"2203909","3305554","2101400","5102504","3305505","2928703","3301850","2304285","5006606","3305208"
"Antônio Cardoso BA","Caapiranga AM","Taipu RN","Guajeru BA","Quebrangulo AL","Mulungu PB","Gararu SE","Novo Airão AM","Simões PI","Santo Antônio do Jacinto MG","Pimenteiras PI",2208106,"2901700","1300839","2413904","2911659","2707602","2509800","2802403","1303205","2210706","3160306"
"Gonçalves Dias MA","Itapororoca PB","Anori AM","Anadia AL","Araruna PB","Pitimbu PB","Boa Nova BA","Barra de Santa Rosa PB","Piatã BA","Juazeirinho PB","Pio Ix PI",2208205,"2104404","2507101","1300102","2700201","2501005","2511905","2903706","2501609","2924306","2507705"
"Pedras de Fogo PB","Boquim SE","Belmonte BA","Passira PE","Santana BA","Tabira PE","Solânea PB","Agrestina PE","Cuité PB","Boca do Acre AM","Piracuruca PI",2208304,"2511202","2800670","2903409","2610509","2928208","2614600","2516003","2600302","2505105","1300706"
"Bom Jesus da Lapa BA","Serrinha BA","Penedo AL","Estância SE","Macaíba RN","São Miguel dos Campos AL","Paudalho PE","Santo Amaro BA","Belo Jardim PE","Oriximiná PA","Piripiri PI",2208403,"2903904","2930501","2706703","2802106","2407104","2708600","2610608","2928604","2601706","1505304"
"Nilo Peçanha BA","Andaraí BA","Lagoa Real BA","Pariconha AL","Teolândia BA","Bom Jesus da Serra BA","Arataca BA","Tacaimbó PE","Antônio Cardoso BA","Ielmo Marinho RN","Porto PI",2208502,"2922607","2901304","2918753","2706422","2931608","2903953","2902252","2614709","2901700","2404606"
"Jardim de Angicos RN","Salgadinho PB","Coivaras PI","Olho D'Água do Piauí PI","Vila Flor RN","Bernardino Batista PB","Pajeú do Piauí PI","Barreiras do Piauí PI","Juarina TO","Canhoba SE","Porto Alegre do Piauí PI",2208551,"2405504","2513000","2202737","2207108","2415008","2502052","2207355","2201309","1711803","2801108"
"Sossêgo PB","Cajazeiras do Piauí PI","Mar Vermelho AL","São José de Princesa PB","São Luis do Piauí PI","Pedra Grande RN","São José do Peixe PI","Pedra Preta RN","Curralinhos PI","Lagoa do Tocantins TO","Prata do Piauí PI",2208601,"2516151","2202075","2704906","2514552","2210375","2409506","2210102","2409605","2203255","1711951"
"Lamarão BA","Santana do Mundaú AL","Dois Riachos AL","Milton Brandão PI","Campo Largo do Piauí PI","Gado Bravo PB","Joaquim Pires PI","Murici dos Portelas PI","Campo Grande AL","São João das Missões MG","Queimada Nova PI",2208650,"2919108","2708105","2702504","2206357","2202174","2506251","2205409","2206696","2701506","3162450"
"Lajedo do Tabocal BA","Riachuelo RN","Tanquinho BA","Anguera BA","Lagoa Salgada RN","Teodoro Sampaio BA","Santana dos Garrotes PB","Juarez Távora PB","Aramari BA","Cabeceiras do Piauí PI","Redenção do Gurguéia PI",2208700,"2919058","2410900","2931103","2901502","2406601","2931400","2513604","2507606","2902203","2202059"
"Esperantinópolis MA","Utinga BA","Neópolis SE","João Dourado BA","Santa Luzia do Paruá MA","Princesa Isabel PB","Itapetim PE","Fortuna MA","Paraibano MA","Itaquitinga PE","Regeneração PI",2208809,"2104008","2932804","2804409","2918357","2110039","2512309","2607703","2104206","2107704","2607802"
"Santana de Mangueira PB","Morro Cabeça no Tempo PI","Curralinhos PI","Jurema PI","Currais PI","Arraial PI","Lagoa do Sítio PI","Nova Santa Rita PI","São João do Tigre PB","Campo Largo do Piauí PI","Riacho Frio PI",2208858,"2513505","2206654","2203255","2205532","2203230","2201002","2205599","2207959","2514107","2202174"
"Pavussu PI","São João da Fronteira PI","Campo Alegre do Fidalgo PI","Monte Formoso MG","Sebastião Barros PI","Bom Princípio do Piauí PI","Pau D'Arco do Piauí PI","Ibiquera BA","Lagoa do Barro do Piauí PI","Pedro Régis PB","Ribeira do Piauí PI",2208874,"2207850","2209872","2202117","3143153","2210623","2201919","2207793","2912608","2205565","2512721"
"Boa Ventura PB","Rio Sono TO","Santa Cruz da Vitória BA","Igaracy PB","José da Penha RN","Serra Negra do Norte RN","Tasso Fragoso MA","Areial PB","Padre Carvalho MG","Santa Helena PB","Ribeiro Gonçalves PI",2208908,"2502102","1718758","2927804","2502607","2406007","2413409","2112001","2501203","3146255","2513307"
"Camalaú PB","São José de Caiana PB","Alcantil PB","Minador do Negrão AL","Lagoa de Dentro PB","Antônio Martins RN","Irajuba BA","Serra Redonda PB","Cordeiros BA","Lagoa Salgada RN","Rio Grande do Piauí PI",2209005,"2503902","2514305","2500536","2705309","2508208","2400901","2914208","2515807","2909000","2406601"
"Nossa Senhora de Lourdes SE","Severiano Melo RN","Itaú RN","Itacuruba PE","Itaju do Colônia BA","Santana do São Francisco SE","Baía Formosa RN","Pindorama do Tocantins TO","Paraú RN","Porto do Mangue RN","Santa Cruz do Piauí PI",2209104,"2804706","2413607","2404903","2607406","2915403","2806404","2401404","1717008","2408706","2410256"
"Bela Vista do Piauí PI","Paes Landim PI","Granjeiro CE","Maurilândia do Tocantins TO","Sítio Novo RN","Carrasco Bonito TO","Santa Inês PB","São José do Bonfim PB","Francinópolis PI","Japi RN","Santa Cruz dos Milagres PI",2209153,"2201556","2207306","2304806","1712801","2413706","1703891","2513356","2514602","2204006","2405405"
"Serraria PB","Fruta de Leite MG","Campinas do Piauí PI","Catuji MG","Cocal de Telha PI","Santo Antônio do Itambé MG","Bom Princípio do Piauí PI","Olho D'Água do Casado AL","Orizânia MG","Pilõezinhos PB","Santa Filomena PI",2209203,"2515906","3127073","2202109","3115458","2202711","3160207","2201919","2705804","3145877","2511707"
"Ibiara PB","Juvenília MG","São João da Ponta PA","Jacaré dos Homens AL","Feira Nova SE","Pedrão BA","Granito PE","Feira da Mata BA","Coronel Ezequiel RN","Materlândia MG","Santa Luz PI",2209302,"2506608","3136959","1507466","2703403","2802205","2924108","2606309","2910776","2402808","3140605"
"Bento Fernandes RN","Maturéia PB","Serra de São Bento RN","Japi RN","Sambaíba MA","São Brás AL","Coronel João Pessoa RN","Congo PB","Landri Sales PI","Nova Iorque MA","Santana do Piauí PI",2209351,"2401602","2509396","2413300","2405405","2109700","2708204","2402907","2504702","2205607","2107308"
