Lugar;"COD IBGE";"IDHM (1991)";"IDHM (2000)";"IDHM (2010)";"IDHM Renda (1991)";"IDHM Renda (2000)";"IDHM Renda (2010)";"IDHM Longevidade (1991)";"IDHM Longevidade (2000)";"IDHM Longevidade (2010)";"IDHM Educação (1991)";"IDHM Educação (2000)";"IDHM Educação (2010)"
"Branquinha (AL)";270110;0,197;0,311;0,513;0,369;0,437;0,534;0,496;0,574;0,699;0,042;0,120;0,362
"Cacimbinhas (AL)";270120;0,282;0,359;0,531;0,450;0,463;0,559;0,527;0,621;0,697;0,095;0,161;0,384
"Cajueiro (AL)";270130;0,288;0,385;0,562;0,429;0,445;0,542;0,490;0,592;0,691;0,114;0,217;0,473
"Campestre (AL)";270135;0,312;0,412;0,559;0,432;0,480;0,550;0,517;0,601;0,729;0,136;0,243;0,435
"Campo Alegre (AL)";270140;0,292;0,393;0,570;0,460;0,468;0,531;0,576;0,664;0,742;0,094;0,195;0,470
"Campo Grande (AL)";270150;0,214;0,337;0,524;0,357;0,427;0,502;0,516;0,637;0,739;0,053;0,141;0,387
"Canapi (AL)";270160;0,205;0,306;0,506;0,390;0,378;0,504;0,467;0,608;0,719;0,047;0,125;0,357
"Capela (AL)";270170;0,288;0,379;0,573;0,419;0,464;0,554;0,552;0,625;0,743;0,103;0,188;0,456
"Carneiros (AL)";270180;0,271;0,356;0,526;0,410;0,432;0,517;0,457;0,575;0,709;0,106;0,182;0,398
"Chã Preta (AL)";270190;0,287;0,383;0,575;0,405;0,437;0,537;0,537;0,608;0,737;0,109;0,211;0,481
"Coité do Nóia (AL)";270200;0,235;0,354;0,533;0,418;0,440;0,520;0,516;0,637;0,730;0,060;0,158;0,398
"Colônia Leopoldina (AL)";270210;0,255;0,377;0,517;0,403;0,478;0,548;0,517;0,598;0,693;0,080;0,187;0,363
"Coqueiro Seco (AL)";270220;0,344;0,466;0,586;0,485;0,511;0,582;0,576;0,698;0,757;0,146;0,284;0,457
"Coruripe (AL)";270230;0,317;0,419;0,626;0,477;0,515;0,591;0,576;0,638;0,769;0,116;0,224;0,541
"Craíbas (AL)";270235;0,204;0,344;0,525;0,402;0,430;0,517;0,516;0,637;0,687;0,041;0,148;0,408
"Delmiro Gouveia (AL)";270240;0,334;0,436;0,612;0,464;0,537;0,599;0,537;0,657;0,774;0,149;0,235;0,494
"Dois Riachos (AL)";270250;0,261;0,370;0,532;0,403;0,470;0,513;0,509;0,634;0,762;0,087;0,170;0,385
"Estrela de Alagoas (AL)";270255;0,221;0,322;0,534;0,394;0,406;0,515;0,549;0,610;0,720;0,050;0,135;0,410
"Feira Grande (AL)";270260;0,250;0,371;0,533;0,403;0,454;0,512;0,488;0,626;0,736;0,079;0,180;0,402
"Feliz Deserto (AL)";270270;0,329;0,411;0,565;0,429;0,436;0,550;0,559;0,687;0,708;0,149;0,231;0,462
"Flexeiras (AL)";270280;0,232;0,373;0,527;0,404;0,450;0,528;0,490;0,608;0,693;0,063;0,190;0,400
"Girau do Ponciano (AL)";270290;0,241;0,335;0,536;0,405;0,422;0,498;0,516;0,634;0,762;0,067;0,141;0,405
"Ibateguara (AL)";270300;0,266;0,337;0,518;0,397;0,463;0,517;0,527;0,657;0,684;0,090;0,126;0,393
