Lugar;"COD IBGE";"IDHM (1991)";"IDHM (2000)";"IDHM (2010)";"IDHM Renda (1991)";"IDHM Renda (2000)";"IDHM Renda (2010)";"IDHM Longevidade (1991)";"IDHM Longevidade (2000)";"IDHM Longevidade (2010)";"IDHM Educação (1991)";"IDHM Educação (2000)";"IDHM Educação (2010)"
"Jurema (PE)";260840;0,227;0,353;0,509;0,384;0,488;0,522;0,444;0,553;0,681;0,069;0,163;0,372
"Lagoa de Itaenga (PE)";260850;0,317;0,413;0,602;0,430;0,486;0,555;0,577;0,686;0,774;0,128;0,212;0,509
"Lagoa do Carro (PE)";260845;0,308;0,493;0,609;0,433;0,541;0,566;0,541;0,676;0,789;0,125;0,328;0,505
"Lagoa do Ouro (PE)";260860;0,294;0,377;0,525;0,407;0,433;0,536;0,496;0,627;0,733;0,126;0,197;0,369
"Lagoa dos Gatos (PE)";260870;0,263;0,391;0,551;0,411;0,469;0,555;0,508;0,609;0,725;0,087;0,209;0,416
"Lagoa Grande (PE)";260875;0,289;0,441;0,597;0,467;0,523;0,581;0,520;0,645;0,705;0,099;0,255;0,520
"Lajedo (PE)";260880;0,355;0,474;0,611;0,504;0,547;0,599;0,566;0,639;0,758;0,157;0,304;0,503
"Limoeiro (PE)";260890;0,416;0,539;0,663;0,498;0,546;0,628;0,608;0,749;0,797;0,238;0,382;0,583
"Macaparana (PE)";260900;0,345;0,454;0,609;0,443;0,477;0,571;0,514;0,639;0,778;0,181;0,306;0,508
"Machados (PE)";260910;0,302;0,418;0,578;0,412;0,494;0,541;0,524;0,639;0,767;0,128;0,231;0,466
"Manari (PE)";260915;0,133;0,295;0,487;0,378;0,425;0,477;0,441;0,572;0,682;0,014;0,106;0,354
"Maraial (PE)";260920;0,247;0,347;0,534;0,437;0,436;0,541;0,581;0,607;0,698;0,059;0,158;0,403
"Mirandiba (PE)";260930;0,362;0,445;0,591;0,407;0,447;0,512;0,629;0,686;0,769;0,185;0,287;0,525
"Moreilândia (PE)";261430;0,296;0,440;0,600;0,339;0,428;0,522;0,610;0,657;0,768;0,125;0,303;0,540
"Moreno (PE)";260940;0,419;0,511;0,652;0,491;0,519;0,610;0,655;0,714;0,805;0,229;0,360;0,564
"Nazaré da Mata (PE)";260950;0,445;0,522;0,662;0,519;0,549;0,608;0,635;0,712;0,789;0,268;0,363;0,604
"Olinda (PE)";260960;0,561;0,648;0,735;0,641;0,669;0,704;0,696;0,789;0,836;0,395;0,516;0,675
"Orobó (PE)";260970;0,351;0,441;0,610;0,432;0,479;0,545;0,605;0,657;0,787;0,165;0,273;0,528
"Orocó (PE)";260980;0,327;0,474;0,610;0,468;0,519;0,536;0,640;0,691;0,766;0,117;0,297;0,553
"Ouricuri (PE)";260990;0,303;0,421;0,572;0,440;0,524;0,578;0,546;0,652;0,773;0,116;0,218;0,419
"Palmares (PE)";261000;0,382;0,473;0,622;0,506;0,567;0,588;0,573;0,631;0,744;0,192;0,296;0,550
"Palmeirina (PE)";261010;0,298;0,425;0,549;0,418;0,516;0,554;0,530;0,627;0,681;0,119;0,238;0,438
"Panelas (PE)";261020;0,257;0,402;0,569;0,425;0,464;0,546;0,547;0,652;0,778;0,073;0,214;0,433
"Paranatama (PE)";261030;0,251;0,360;0,537;0,436;0,455;0,528;0,479;0,581;0,703;0,076;0,177;0,418
"Parnamirim (PE)";261040;0,331;0,429;0,599;0,418;0,490;0,556;0,640;0,692;0,776;0,135;0,233;0,499
"Passira (PE)";261050;0,306;0,439;0,592;0,422;0,483;0,559;0,583;0,667;0,763;0,116;0,263;0,487
"Paudalho (PE)";261060;0,357;0,471;0,639;0,467;0,526;0,612;0,631;0,714;0,782;0,154;0,279;0,545
"Paulista (PE)";261070;0,554;0,648;0,732;0,614;0,641;0,673;0,728;0,797;0,830;0,381;0,533;0,703
"Pedra (PE)";261080;0,301;0,418;0,567;0,458;0,496;0,550;0,536;0,651;0,743;0,111;0,226;0,445
"Pesqueira (PE)";261090;0,370;0,482;0,610;0,504;0,536;0,597;0,520;0,628;0,751;0,193;0,333;0,506
"Petrolândia (PE)";261100;0,401;0,527;0,623;0,506;0,541;0,604;0,630;0,707;0,755;0,202;0,383;0,531
"Petrolina (PE)";261110;0,471;0,580;0,697;0,578;0,630;0,695;0,676;0,756;0,799;0,268;0,410;0,611
"Poção (PE)";261120;0,310;0,411;0,528;0,453;0,478;0,542;0,496;0,580;0,677;0,132;0,250;0,402
"Pombos (PE)";261130;0,316;0,446;0,598;0,471;0,529;0,584;0,592;0,705;0,790;0,113;0,238;0,463
"Primavera (PE)";261140;0,304;0,432;0,580;0,417;0,488;0,572;0,537;0,679;0,767;0,125;0,243;0,444
"Quipapá (PE)";261150;0,288;0,361;0,552;0,431;0,466;0,530;0,531;0,664;0,743;0,104;0,152;0,427
"Quixaba (PE)";261153;0,256;0,394;0,577;0,387;0,416;0,530;0,557;0,613;0,752;0,078;0,240;0,482
"Recife (PE)";261160;0,576;0,660;0,772;0,692;0,736;0,798;0,676;0,727;0,825;0,409;0,538;0,698
"Riacho das Almas (PE)";261170;0,285;0,426;0,570;0,464;0,581;0,586;0,531;0,615;0,757;0,094;0,216;0,418
"Ribeirão (PE)";261180;0,357;0,456;0,602;0,480;0,538;0,595;0,641;0,676;0,711;0,148;0,261;0,516
"Rio Formoso (PE)";261190;0,309;0,420;0,613;0,422;0,485;0,562;0,579;0,681;0,809;0,121;0,225;0,506
"Sairé (PE)";261200;0,298;0,389;0,585;0,430;0,487;0,581;0,547;0,661;0,784;0,113;0,183;0,440
"Salgadinho (PE)";261210;0,272;0,402;0,534;0,391;0,480;0,516;0,539;0,665;0,730;0,095;0,204;0,405
"Salgueiro (PE)";261220;0,404;0,531;0,669;0,527;0,572;0,645;0,630;0,745;0,799;0,198;0,351;0,580
"Saloá (PE)";261230;0,314;0,417;0,559;0,495;0,474;0,559;0,531;0,639;0,744;0,118;0,239;0,421
"Sanharó (PE)";261240;0,349;0,460;0,603;0,496;0,566;0,564;0,530;0,639;0,758;0,162;0,269;0,514
"Santa Cruz (PE)";261245;0,182;0,341;0,549;0,322;0,427;0,522;0,601;0,668;0,722;0,031;0,139;0,438
"Santa Cruz da Baixa Verde (PE)";261247;0,320;0,474;0,612;0,393;0,477;0,557;0,586;0,708;0,786;0,142;0,316;0,523
"Santa Cruz do Capibaribe (PE)";261250;0,436;0,520;0,648;0,597;0,633;0,667;0,672;0,734;0,806;0,207;0,302;0,506
"Santa Filomena (PE)";261255;0,157;0,315;0,533;0,256;0,391;0,496;0,608;0,677;0,752;0,025;0,118;0,406
"Santa Maria da Boa Vista (PE)";261260;0,313;0,468;0,590;0,512;0,530;0,564;0,614;0,677;0,773;0,098;0,285;0,472
"Santa Maria do Cambucá (PE)";261270;0,277;0,379;0,548;0,401;0,456;0,571;0,493;0,617;0,735;0,107;0,193;0,393
"Santa Terezinha (PE)";261280;0,303;0,432;0,593;0,407;0,467;0,540;0,508;0,614;0,737;0,135;0,281;0,524
"São Benedito do Sul (PE)";261290;0,228;0,356;0,530;0,400;0,429;0,499;0,461;0,598;0,736;0,064;0,176;0,406
"São Bento do Una (PE)";261300;0,318;0,437;0,593;0,498;0,587;0,593;0,555;0,676;0,789;0,116;0,210;0,446
"São Caitano (PE)";261310;0,285;0,418;0,591;0,457;0,509;0,583;0,507;0,639;0,756;0,100;0,224;0,469
"São João (PE)";261320;0,278;0,398;0,570;0,427;0,472;0,565;0,496;0,639;0,768;0,101;0,209;0,426
"São Joaquim do Monte (PE)";261330;0,293;0,365;0,537;0,440;0,477;0,549;0,528;0,628;0,741;0,108;0,162;0,381
"São José da Coroa Grande (PE)";261340;0,306;0,474;0,608;0,439;0,515;0,585;0,527;0,652;0,736;0,124;0,318;0,522
"São José do Belmonte (PE)";261350;0,309;0,439;0,610;0,400;0,482;0,569;0,628;0,714;0,769;0,117;0,245;0,520
"São José do Egito (PE)";261360;0,397;0,508;0,635;0,491;0,520;0,602;0,655;0,708;0,769;0,194;0,356;0,554
"São Lourenço da Mata (PE)";261370;0,416;0,530;0,653;0,502;0,553;0,614;0,648;0,712;0,793;0,221;0,379;0,571
"São Vicente Ferrer (PE)";261380;0,319;0,416;0,549;0,454;0,478;0,558;0,532;0,657;0,715;0,134;0,230;0,414
"Serra Talhada (PE)";261390;0,401;0,499;0,661;0,502;0,553;0,632;0,655;0,735;0,800;0,196;0,305;0,571
"Serrita (PE)";261400;0,259;0,410;0,595;0,394;0,465;0,542;0,614;0,691;0,760;0,072;0,214;0,512
"Sertânia (PE)";261410;0,386;0,485;0,613;0,456;0,521;0,601;0,649;0,707;0,752;0,195;0,310;0,510
"Sirinhaém (PE)";261420;0,293;0,436;0,597;0,405;0,494;0,568;0,579;0,707;0,763;0,107;0,238;0,492
"Solidão (PE)";261440;0,280;0,403;0,585;0,297;0,401;0,547;0,557;0,613;0,755;0,133;0,266;0,485
"Surubim (PE)";261450;0,389;0,494;0,635;0,504;0,561;0,617;0,552;0,643;0,756;0,211;0,335;0,548
"Tabira (PE)";261460;0,361;0,475;0,605;0,469;0,492;0,570;0,545;0,665;0,770;0,184;0,328;0,504
"Tacaimbó (PE)";261470;0,259;0,397;0,554;0,425;0,477;0,536;0,540;0,667;0,748;0,076;0,197;0,423
"Tacaratu (PE)";261480;0,344;0,411;0,573;0,440;0,458;0,521;0,553;0,598;0,711;0,167;0,253;0,507
"Tamandaré (PE)";261485;0,285;0,402;0,593;0,416;0,493;0,583;0,559;0,627;0,745;0,100;0,210;0,479
"Taquaritinga do Norte (PE)";261500;0,358;0,480;0,641;0,528;0,569;0,636;0,635;0,754;0,796;0,137;0,258;0,520
"Terezinha (PE)";261510;0,285;0,352;0,545;0,385;0,394;0,536;0,567;0,635;0,711;0,106;0,175;0,425
"Terra Nova (PE)";261520;0,399;0,494;0,599;0,480;0,520;0,545;0,629;0,688;0,741;0,210;0,336;0,533
"Timbaúba (PE)";261530;0,367;0,489;0,618;0,495;0,542;0,592;0,543;0,676;0,769;0,184;0,319;0,519
"Toritama (PE)";261540;0,448;0,481;0,618;0,602;0,623;0,655;0,675;0,728;0,797;0,222;0,245;0,452
"Tracunhaém (PE)";261550;0,336;0,444;0,605;0,427;0,487;0,567;0,640;0,677;0,776;0,139;0,265;0,504
"Trindade (PE)";261560;0,313;0,462;0,595;0,458;0,611;0,602;0,581;0,639;0,768;0,115;0,252;0,455
"Triunfo (PE)";261570;0,404;0,552;0,670;0,466;0,536;0,624;0,675;0,760;0,817;0,210;0,412;0,591
"Tupanatinga (PE)";261580;0,225;0,343;0,519;0,370;0,410;0,494;0,528;0,609;0,747;0,058;0,161;0,379
"Tuparetama (PE)";261590;0,392;0,528;0,634;0,467;0,522;0,612;0,580;0,714;0,749;0,223;0,395;0,557
"Venturosa (PE)";261600;0,361;0,472;0,592;0,455;0,521;0,570;0,600;0,658;0,751;0,173;0,306;0,484
"Verdejante (PE)";261610;0,356;0,460;0,605;0,405;0,462;0,560;0,649;0,707;0,760;0,171;0,298;0,520
"Vertente do Lério (PE)";261618;0,273;0,382;0,563;0,408;0,421;0,532;0,515;0,617;0,726;0,097;0,214;0,461
"Vertentes (PE)";261620;0,340;0,452;0,582;0,450;0,512;0,602;0,573;0,692;0,728;0,152;0,260;0,450
"Vicência (PE)";261630;0,306;0,455;0,605;0,437;0,479;0,551;0,601;0,691;0,754;0,109;0,285;0,534
"Vitória de Santo Antão (PE)";261640;0,418;0,519;0,640;0,517;0,562;0,629;0,585;0,692;0,768;0,242;0,360;0,543
"Xexéu (PE)";261650;0,269;0,365;0,552;0,397;0,444;0,549;0,487;0,584;0,703;0,101;0,188;0,436
"Acauã (PI)";220005;0,143;0,274;0,528;0,344;0,333;0,517;0,474;0,562;0,692;0,018;0,110;0,411
"Agricolândia (PI)";220010;0,379;0,447;0,599;0,363;0,428;0,550;0,604;0,672;0,742;0,248;0,310;0,526
"Água Branca (PI)";220020;0,420;0,506;0,639;0,465;0,518;0,600;0,571;0,679;0,763;0,279;0,368;0,569
"Alagoinha do Piauí (PI)";220025;0,226;0,368;0,531;0,420;0,516;0,535;0,560;0,620;0,716;0,049;0,156;0,391
"Alegrete do Piauí (PI)";220027;0,265;0,431;0,585;0,424;0,525;0,564;0,518;0,654;0,749;0,085;0,233;0,475
"Alto Longá (PI)";220030;0,258;0,367;0,585;0,378;0,436;0,567;0,608;0,656;0,751;0,075;0,173;0,470
"Altos (PI)";220040;0,316;0,424;0,614;0,434;0,487;0,590;0,611;0,672;0,767;0,119;0,233;0,512
"Alvorada do Gurguéia (PI)";220045;0,273;0,403;0,578;0,344;0,467;0,520;0,510;0,616;0,749;0,116;0,228;0,496
"Amarante (PI)";220050;0,364;0,460;0,598;0,433;0,476;0,574;0,629;0,700;0,750;0,177;0,293;0,497
"Angical do Piauí (PI)";220060;0,410;0,476;0,630;0,451;0,460;0,610;0,594;0,708;0,737;0,258;0,331;0,555
"Anísio de Abreu (PI)";220070;0,289;0,425;0,594;0,376;0,490;0,534;0,616;0,673;0,768;0,104;0,233;0,512
"Antônio Almeida (PI)";220080;0,320;0,478;0,620;0,332;0,481;0,579;0,565;0,665;0,781;0,175;0,341;0,527
"Aroazes (PI)";220090;0,281;0,416;0,583;0,400;0,468;0,563;0,564;0,630;0,752;0,098;0,244;0,468
"Aroeiras do Itaim (PI)";220095;0,157;0,208;0,519;0,294;0,347;0,502;0,509;0,632;0,738;0,026;0,041;0,378
"Arraial (PI)";220100;0,260;0,412;0,560;0,376;0,458;0,514;0,590;0,684;0,761;0,079;0,223;0,449
"Assunção do Piauí (PI)";220105;0,170;0,341;0,499;0,330;0,486;0,462;0,548;0,603;0,706;0,027;0,135;0,382
"Avelino Lopes (PI)";220110;0,256;0,367;0,554;0,401;0,413;0,532;0,548;0,610;0,722;0,076;0,196;0,442
"Baixa Grande do Ribeiro (PI)";220115;0,202;0,349;0,564;0,377;0,449;0,537;0,531;0,620;0,751;0,041;0,153;0,446
"Barra D'Alcântara (PI)";220117;0,185;0,376;0,577;0,310;0,447;0,526;0,570;0,651;0,777;0,036;0,183;0,471
"Barras (PI)";220120;0,270;0,417;0,595;0,381;0,466;0,558;0,591;0,639;0,779;0,087;0,243;0,485
"Barreiras do Piauí (PI)";220130;0,358;0,413;0,557;0,427;0,490;0,560;0,630;0,679;0,730;0,171;0,211;0,423
"Barro Duro (PI)";220140;0,374;0,481;0,612;0,477;0,509;0,611;0,595;0,679;0,729;0,185;0,322;0,514
"Batalha (PI)";220150;0,279;0,377;0,545;0,366;0,440;0,540;0,536;0,630;0,755;0,111;0,193;0,398
"Bela Vista do Piauí (PI)";220155;0,146;0,301;0,576;0,271;0,415;0,520;0,521;0,588;0,709;0,022;0,112;0,519
"Belém do Piauí (PI)";220157;0,179;0,324;0,551;0,323;0,418;0,537;0,536;0,588;0,696;0,033;0,138;0,448
"Beneditinos (PI)";220160;0,293;0,392;0,557;0,367;0,476;0,561;0,608;0,672;0,780;0,113;0,188;0,394
"Bertolínia (PI)";220170;0,343;0,441;0,612;0,390;0,471;0,596;0,609;0,690;0,758;0,170;0,264;0,507
"Betânia do Piauí (PI)";220173;0,160;0,257;0,489;0,346;0,363;0,486;0,474;0,564;0,702;0,025;0,083;0,342
"Boa Hora (PI)";220177;0,197;0,351;0,575;0,428;0,435;0,534;0,510;0,648;0,772;0,035;0,154;0,460
"Bocaina (PI)";220180;0,340;0,483;0,632;0,409;0,536;0,614;0,595;0,697;0,773;0,162;0,301;0,532
"Bom Jesus (PI)";220190;0,376;0,486;0,668;0,519;0,561;0,665;0,630;0,709;0,799;0,163;0,289;0,562
"Bom Princípio do Piauí (PI)";220191;0,200;0,345;0,532;0,380;0,454;0,526;0,493;0,630;0,770;0,043;0,143;0,372
"Bonfim do Piauí (PI)";220192;0,210;0,402;0,542;0,377;0,487;0,542;0,616;0,665;0,707;0,040;0,201;0,415
"Boqueirão do Piauí (PI)";220194;0,200;0,316;0,560;0,388;0,395;0,555;0,608;0,656;0,729;0,034;0,122;0,434
"Brasileira (PI)";220196;0,270;0,396;0,577;0,374;0,439;0,572;0,591;0,654;0,752;0,089;0,216;0,446
"Brejo do Piauí (PI)";220198;0,154;0,278;0,515;0,278;0,423;0,531;0,486;0,610;0,725;0,027;0,083;0,354
"Buriti dos Lopes (PI)";220200;0,227;0,382;0,565;0,398;0,464;0,544;0,475;0,604;0,735;0,062;0,199;0,452
"Buriti dos Montes (PI)";220202;0,194;0,368;0,574;0,321;0,443;0,527;0,551;0,648;0,780;0,041;0,173;0,460
"Cabeceiras do Piauí (PI)";220205;0,210;0,362;0,583;0,324;0,383;0,540;0,496;0,636;0,769;0,058;0,194;0,476
"Cajazeiras do Piauí (PI)";220207;0,194;0,333;0,562;0,331;0,432;0,525;0,523;0,626;0,752;0,042;0,136;0,449
"Cajueiro da Praia (PI)";220208;0,167;0,365;0,546;0,341;0,434;0,551;0,528;0,604;0,739;0,026;0,185;0,400
"Caldeirão Grande do Piauí (PI)";220209;0,177;0,333;0,588;0,399;0,458;0,561;0,496;0,616;0,744;0,028;0,131;0,486
"Campinas do Piauí (PI)";220210;0,274;0,371;0,544;0,400;0,421;0,524;0,519;0,637;0,776;0,099;0,191;0,397
"Campo Alegre do Fidalgo (PI)";220211;0,140;0,277;0,537;0,337;0,400;0,528;0,509;0,626;0,762;0,016;0,085;0,385
"Campo Grande do Piauí (PI)";220213;0,191;0,350;0,560;0,414;0,439;0,545;0,561;0,632;0,721;0,030;0,155;0,446
"Campo Largo do Piauí (PI)";220217;0,160;0,336;0,528;0,292;0,367;0,479;0,487;0,632;0,766;0,029;0,164;0,401
"Campo Maior (PI)";220220;0,397;0,500;0,656;0,510;0,545;0,629;0,615;0,706;0,793;0,200;0,325;0,566
"Canavieira (PI)";220225;0,267;0,388;0,583;0,376;0,402;0,525;0,620;0,654;0,778;0,082;0,223;0,485
"Canto do Buriti (PI)";220230;0,314;0,426;0,576;0,452;0,522;0,571;0,558;0,654;0,724;0,123;0,227;0,462
"Capitão de Campos (PI)";220240;0,294;0,396;0,583;0,410;0,442;0,552;0,620;0,658;0,773;0,100;0,213;0,465
"Capitão Gervásio Oliveira (PI)";220245;0,121;0,288;0,553;0,317;0,420;0,503;0,563;0,619;0,725;0,010;0,092;0,464
"Caracol (PI)";220250;0,257;0,385;0,552;0,397;0,451;0,533;0,603;0,651;0,771;0,071;0,194;0,409
"Caraúbas do Piauí (PI)";220253;0,120;0,272;0,505;0,328;0,394;0,480;0,528;0,654;0,775;0,010;0,078;0,347
"Caridade do Piauí (PI)";220255;0,152;0,349;0,541;0,324;0,434;0,520;0,546;0,632;0,715;0,020;0,155;0,426
"Castelo do Piauí (PI)";220260;0,288;0,399;0,587;0,449;0,466;0,566;0,590;0,660;0,754;0,090;0,207;0,473
"Caxingó (PI)";220265;0,142;0,267;0,488;0,341;0,418;0,498;0,528;0,577;0,708;0,016;0,079;0,329
"Cocal (PI)";220270;0,219;0,319;0,497;0,374;0,436;0,516;0,560;0,587;0,712;0,050;0,127;0,334
"Cocal de Telha (PI)";220271;0,252;0,384;0,555;0,406;0,451;0,550;0,577;0,684;0,780;0,068;0,184;0,399
"Cocal dos Alves (PI)";220272;0,154;0,264;0,498;0,318;0,418;0,504;0,545;0,651;0,779;0,021;0,068;0,315
"Coivaras (PI)";220273;0,230;0,370;0,565;0,392;0,429;0,543;0,608;0,658;0,732;0,051;0,179;0,453
"Colônia do Gurguéia (PI)";220275;0,337;0,445;0,628;0,404;0,461;0,578;0,624;0,690;0,778;0,152;0,277;0,550
"Colônia do Piauí (PI)";220277;0,233;0,335;0,588;0,359;0,435;0,570;0,585;0,635;0,772;0,060;0,136;0,462
"Conceição do Canindé (PI)";220280;0,282;0,390;0,589;0,384;0,474;0,559;0,496;0,618;0,759;0,118;0,202;0,482
"Coronel José Dias (PI)";220285;0,216;0,386;0,546;0,382;0,450;0,518;0,560;0,595;0,725;0,047;0,215;0,433
"Corrente (PI)";220290;0,386;0,474;0,642;0,480;0,544;0,620;0,643;0,706;0,789;0,187;0,277;0,540
"Cristalândia do Piauí (PI)";220300;0,288;0,416;0,573;0,373;0,458;0,521;0,548;0,632;0,770;0,117;0,248;0,469
"Cristino Castro (PI)";220310;0,344;0,460;0,566;0,411;0,550;0,586;0,624;0,693;0,713;0,159;0,255;0,434
"Curimatá (PI)";220320;0,329;0,489;0,607;0,437;0,564;0,574;0,624;0,700;0,741;0,130;0,297;0,527
"Currais (PI)";220323;0,226;0,339;0,542;0,290;0,403;0,490;0,510;0,621;0,743;0,078;0,155;0,438
"Curralinhos (PI)";220325;0,233;0,341;0,555;0,296;0,381;0,512;0,594;0,637;0,762;0,072;0,163;0,438
"Curral Novo do Piauí (PI)";220327;0,227;0,350;0,527;0,325;0,458;0,506;0,474;0,561;0,685;0,076;0,167;0,422
"Demerval Lobão (PI)";220330;0,355;0,455;0,618;0,462;0,483;0,588;0,608;0,673;0,781;0,159;0,289;0,515
"Dirceu Arcoverde (PI)";220335;0,291;0,407;0,561;0,403;0,488;0,563;0,624;0,654;0,718;0,098;0,212;0,436
"Dom Expedito Lopes (PI)";220340;0,377;0,466;0,601;0,470;0,535;0,583;0,606;0,630;0,762;0,188;0,300;0,488
"Domingos Mourão (PI)";220342;0,206;0,338;0,550;0,308;0,366;0,547;0,495;0,630;0,755;0,057;0,168;0,403
"Dom Inocêncio (PI)";220345;0,188;0,279;0,549;0,356;0,444;0,498;0,584;0,636;0,756;0,032;0,077;0,439
"Elesbão Veloso (PI)";220350;0,308;0,404;0,580;0,413;0,463;0,573;0,570;0,637;0,758;0,124;0,224;0,450
"Eliseu Martins (PI)";220360;0,343;0,449;0,595;0,391;0,476;0,616;0,626;0,700;0,742;0,165;0,271;0,462
"Esperantina (PI)";220370;0,311;0,420;0,605;0,428;0,489;0,579;0,536;0,654;0,769;0,131;0,231;0,497
"Fartura do Piauí (PI)";220375;0,210;0,370;0,548;0,368;0,475;0,506;0,558;0,637;0,738;0,045;0,168;0,441
"Flores do Piauí (PI)";220380;0,296;0,353;0,547;0,396;0,442;0,525;0,630;0,673;0,704;0,104;0,148;0,443
"Floresta do Piauí (PI)";220385;0,166;0,295;0,538;0,331;0,418;0,530;0,474;0,616;0,753;0,029;0,100;0,391
"Floriano (PI)";220390;0,436;0,558;0,700;0,551;0,601;0,676;0,599;0,709;0,802;0,251;0,408;0,633
"Francinópolis (PI)";220400;0,292;0,393;0,564;0,363;0,395;0,523;0,548;0,587;0,722;0,125;0,262;0,475
"Francisco Ayres (PI)";220410;0,292;0,391;0,577;0,317;0,444;0,565;0,600;0,642;0,756;0,131;0,209;0,450
"Francisco Macedo (PI)";220415;0,217;0,356;0,553;0,322;0,427;0,567;0,531;0,630;0,701;0,060;0,168;0,425
"Francisco Santos (PI)";220420;0,349;0,438;0,608;0,466;0,506;0,598;0,606;0,637;0,754;0,150;0,260;0,498
"Fronteiras (PI)";220430;0,316;0,421;0,619;0,452;0,541;0,621;0,561;0,632;0,748;0,125;0,219;0,511
"Geminiano (PI)";220435;0,163;0,322;0,561;0,369;0,426;0,524;0,493;0,621;0,755;0,024;0,126;0,446
"Gilbués (PI)";220440;0,313;0,411;0,548;0,435;0,492;0,574;0,574;0,702;0,753;0,123;0,201;0,380
"Guadalupe (PI)";220450;0,401;0,495;0,650;0,511;0,543;0,639;0,626;0,701;0,794;0,201;0,318;0,542
"Guaribas (PI)";220455;0,141;0,214;0,508;0,331;0,401;0,483;0,493;0,592;0,711;0,017;0,041;0,381
"Hugo Napoleão (PI)";220460;0,347;0,405;0,599;0,363;0,418;0,528;0,570;0,648;0,776;0,202;0,245;0,524
"Ilha Grande (PI)";220465;0,241;0,405;0,563;0,390;0,447;0,534;0,436;0,577;0,708;0,082;0,258;0,472
"Inhuma (PI)";220470;0,336;0,449;0,624;0,498;0,523;0,562;0,591;0,654;0,772;0,129;0,265;0,560
"Ipiranga do Piauí (PI)";220480;0,341;0,470;0,630;0,420;0,479;0,560;0,547;0,654;0,765;0,173;0,332;0,583
"Isaías Coelho (PI)";220490;0,221;0,360;0,582;0,328;0,418;0,628;0,519;0,637;0,767;0,063;0,175;0,410
"Itainópolis (PI)";220500;0,196;0,397;0,541;0,361;0,520;0,545;0,482;0,592;0,725;0,043;0,203;0,401
"Itaueira (PI)";220510;0,307;0,444;0,583;0,369;0,538;0,594;0,620;0,673;0,727;0,126;0,242;0,460
"Jacobina do Piauí (PI)";220515;0,176;0,333;0,535;0,372;0,422;0,509;0,583;0,619;0,724;0,025;0,141;0,416
"Jaicós (PI)";220520;0,278;0,385;0,524;0,420;0,488;0,556;0,571;0,639;0,709;0,090;0,183;0,366
"Jardim do Mulato (PI)";220525;0,247;0,427;0,593;0,325;0,428;0,532;0,594;0,644;0,711;0,078;0,282;0,550
"Jatobá do Piauí (PI)";220527;0,215;0,361;0,566;0,367;0,465;0,525;0,540;0,648;0,780;0,050;0,156;0,442
"Jerumenha (PI)";220530;0,368;0,448;0,591;0,468;0,451;0,569;0,626;0,706;0,787;0,170;0,282;0,461
"João Costa (PI)";220535;0,151;0,311;0,561;0,340;0,425;0,510;0,563;0,635;0,752;0,018;0,111;0,460
"Joaquim Pires (PI)";220540;0,224;0,364;0,522;0,369;0,442;0,485;0,522;0,636;0,765;0,058;0,172;0,384
"Joca Marques (PI)";220545;0,125;0,307;0,504;0,326;0,419;0,501;0,496;0,595;0,726;0,012;0,116;0,353
"José de Freitas (PI)";220550;0,273;0,402;0,618;0,397;0,479;0,591;0,564;0,654;0,781;0,091;0,208;0,512
"Juazeiro do Piauí (PI)";220551;0,127;0,329;0,570;0,291;0,411;0,522;0,540;0,630;0,753;0,013;0,137;0,470
"Júlio Borges (PI)";220552;0,227;0,382;0,582;0,270;0,374;0,500;0,548;0,651;0,777;0,079;0,229;0,508
"Jurema (PI)";220553;0,220;0,348;0,555;0,338;0,426;0,511;0,493;0,636;0,767;0,064;0,155;0,435
"Lagoa Alegre (PI)";220555;0,226;0,373;0,550;0,308;0,423;0,538;0,608;0,666;0,728;0,062;0,184;0,425
"Lagoa de São Francisco (PI)";220557;0,177;0,312;0,529;0,264;0,389;0,499;0,540;0,604;0,743;0,039;0,129;0,400
"Lagoa do Barro do Piauí (PI)";220556;0,173;0,303;0,502;0,372;0,415;0,474;0,519;0,623;0,744;0,027;0,108;0,358
"Lagoa do Piauí (PI)";220558;0,298;0,383;0,583;0,411;0,413;0,548;0,608;0,648;0,778;0,106;0,210;0,464
"Lagoa do Sítio (PI)";220559;0,258;0,382;0,541;0,393;0,409;0,504;0,583;0,619;0,745;0,075;0,220;0,421
"Lagoinha do Piauí (PI)";220554;0,315;0,457;0,597;0,372;0,442;0,561;0,601;0,691;0,776;0,140;0,313;0,488
"Landri Sales (PI)";220560;0,367;0,451;0,584;0,453;0,495;0,563;0,624;0,672;0,738;0,175;0,275;0,480
"Luís Correia (PI)";220570;0,237;0,348;0,541;0,383;0,463;0,544;0,481;0,591;0,730;0,072;0,154;0,398
"Luzilândia (PI)";220580;0,277;0,380;0,545;0,399;0,466;0,550;0,445;0,562;0,700;0,120;0,210;0,420
"Madeiro (PI)";220585;0,146;0,362;0,563;0,308;0,404;0,472;0,510;0,644;0,772;0,020;0,182;0,489
"Manoel Emídio (PI)";220590;0,321;0,442;0,573;0,333;0,449;0,534;0,565;0,663;0,758;0,176;0,291;0,466
"Marcolândia (PI)";220595;0,283;0,396;0,562;0,445;0,506;0,578;0,561;0,632;0,700;0,091;0,194;0,438
"Marcos Parente (PI)";220600;0,334;0,466;0,590;0,381;0,511;0,580;0,609;0,643;0,717;0,161;0,307;0,494
"Massapê do Piauí (PI)";220605;0,132;0,310;0,525;0,334;0,438;0,514;0,496;0,587;0,730;0,014;0,116;0,386
