"NM_MUNICIPIO_CONVENENTE","cod7","total.pjs","documentos.liquidacao","licitacao","dispensa","beneficiarios.pjs","acima10K","acima1M","top10pc.quanto"
"CANDIOTA",4304358,327195.4,39,0.83235583385341,0.16764416614659,17,9,0,0.279004533682319
"CANDOI",4104428,1272662.31,38,1,0,10,10,0,0.278141339787143
"CANELA",4304408,185089.63,10,1,0,2,2,0,0.650011888834615
"CANELINHA",4203709,633263.46,4,1,0,2,2,0,0.57480025770001
"CANGUARETAMA",2402204,367619.22,7,1,0,2,2,0,0.921701971948039
"CANGUCU",4304507,2262469.68,38,1,0,12,10,1,0.472934514640656
"CANITAR",3510153,76235.55,5,1,0,1,1,0,1
"CANOAS",4304606,337767.85,21,1,0,9,6,0,0.35667021002739
"CANOINHAS",4203808,1171776.11,22,1,0,6,6,0,0.456765977247992
"CANSANCAO",2906808,575959.12,4,1,0,2,2,0,0.836029369584425
"CANTAGALO",3112059,498400,2,1,0,2,2,0,0.954052969502408
"CANTAGALO",4104451,891096.97,16,1,0,8,6,0,0.314219450213146
"CANTANHEDE",2102705,287375.95,1,1,0,1,1,0,1
"CANTO DO BURITI",2202307,398559.62,6,0.98850987463306,0.0114901253669401,2,1,0,0.98850987463306
"CANUDOS",2906824,306981.83,4,1,0,2,2,0,0.574122448875883
"CANUDOS DO VALE",4304614,557867.5,16,1,0,8,8,0,0.680562158577081
"CANUTAMA",1300904,23431.25,1,1,0,1,1,0,1
"CAPANEMA",4104501,1419190.48,23,1,0,9,9,0,0.201523336035907
"CAPAO ALTO",4203253,165094.1,2,1,0,1,1,0,1
"CAPAO BONITO",3510203,1979339.12,30,1,0,6,6,0,0.250631271310396
"CAPAO BONITO DO SUL",4304622,99800,1,1,0,1,1,0,1
"CAPAO DA CANOA",4304630,172830,3,1,0,2,2,0,0.723254064687844
"CAPAO DO CIPO",4304655,1020934.48,21,1,0,6,6,0,0.429727165253543
"CAPARAO",3112109,97500,1,1,0,1,1,0,1
"CAPELA",2701704,710966,4,1,0,3,3,0,0.436026476652892
