"origem","NM_ORGAO_SUPERIOR","zscore","total","media"
1200302,"MINISTERIO DA SAUDE",-0.3555421209277,26762,35159.6666666667
1200302,"MINISTERIO DAS CIDADES",-0.755296053300479,14203,29080.2
1200302,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",-0.707106781186548,16779,33282.5
1200302,"MINISTERIO DO ESPORTE",-1.10929181123993,2505,6572.5
1200328,"MINISTÉRIO DA AGRICULTURA,PECUARIA E ABASTECIMENTO",0.707106781186548,18879,15098
1200328,"MINISTERIO DA DEFESA",-0.981021869062962,13815,44858.25
1200328,"MINISTERIO DA INTEGRACAO NACIONAL",0.707106781186548,9983,5218.5
1200328,"MINISTERIO DA SAUDE",1.77939936580932,40902,22104.6
1200328,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",1.12655118319721,37952,31638
1200328,"MINISTERIO DO ESPORTE",-0.716677391963312,13822,26981
1200336,"MINISTERIO DA DEFESA",1,150548,150548
1200336,"MINISTERIO DA INTEGRACAO NACIONAL",0.707106781186547,13277,6867
1200336,"MINISTERIO DA SAUDE",1.51139539106842,34329,14571.4
1200336,"MINISTERIO DAS CIDADES",-0.631122033232743,13135,26613.7
1200336,"MINISTERIO DO DESENV. SOCIAL E COMBATE A FOME",1,13277,13277
1200336,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",1,24478,24478
1200336,"MINISTERIO DO ESPORTE",-0.885596966694275,11317,15892.3333333333
1200344,"MINISTÉRIO DA AGRICULTURA,PECUARIA E ABASTECIMENTO",-0.00610546190755236,16184,16241
1200344,"MINISTERIO DA DEFESA",1,24807,24807
1200344,"MINISTERIO DA SAUDE",1.67789690711532,24346,17180.8
1200344,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",0.707106781186547,26508,20824
1200351,"MINISTERIO DA DEFESA",1,131789,131789
1200351,"MINISTERIO DA INTEGRACAO NACIONAL",-0.911125539809962,9983,17363
1200351,"MINISTERIO DA SAUDE",0.00752229589448982,26896,26846.6666666667
1200351,"MINISTERIO DAS CIDADES",-0.172857255383312,26035,29191.3333333333
1200351,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",1.47233221514068,76606,29078.25
1200385,"MINISTÉRIO DA AGRICULTURA,PECUARIA E ABASTECIMENTO",1.33166259901578,76169,34441.25
1200385,"MINISTERIO DA CULTURA",1,12173,12173
1200385,"MINISTERIO DA DEFESA",-1.01412023849232,85681,93363.3333333333
1200385,"MINISTERIO DA INTEGRACAO NACIONAL",-0.611724104704873,13277,35140.6666666667
1200385,"MINISTERIO DA SAUDE",-0.707106781186547,36879,47431
1200385,"MINISTERIO DAS CIDADES",-0.549991524624659,18969,30445.75
1200385,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",-0.423057731278712,12173,15304.3333333333
1200385,"MINISTERIO DO ESPORTE",-0.205492984473565,17557,20371.2
1200393,"MINISTÉRIO DA AGRICULTURA,PECUARIA E ABASTECIMENTO",-0.789038697185424,13893,18474.6666666667
1200393,"MINISTERIO DA DEFESA",0.707106781186547,173418,103606.5
1200393,"MINISTERIO DA SAUDE",1.67692418563345,32139,18360.8
1200393,"MINISTERIO DAS CIDADES",0.145874089497983,35718,32667.375
1200393,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",0.707106781186548,20519,15009
1200393,"MINISTERIO DO ESPORTE",0.707106781186547,22634,21793
1200401,"MINISTÉRIO DA AGRICULTURA,PECUARIA E ABASTECIMENTO",0.615305512321209,94398,61741.4285714286
1200401,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO",-0.540567332241576,25519,33489.8
1200401,"MINISTERIO DA CULTURA",1.61450324569041,200251,69470.4285714286
1200401,"MINISTERIO DA DEFESA",-0.465288171759684,461584,764659.75
1200401,"MINISTERIO DA EDUCACAO",-0.196657472276678,145835,175690.285714286
1200401,"MINISTERIO DA INTEGRACAO NACIONAL",-0.180083626865665,36556,43027.1666666667
1200401,"MINISTERIO DA JUSTICA",1.44598988226548,276178,110898
1200401,"MINISTÉRIO DA PESCA E AQUICULTURA",-0.860892030605098,1397,20928.5
1200401,"MINISTERIO DA SAUDE",1.01609734509879,220172,126038.363636364
1200401,"MINISTERIO DAS CIDADES",1.59502383546532,97055,50588.875
1200401,"MINISTERIO DO DESENV,IND. E COMERCIO EXTERIOR",1,2,2
1200401,"MINISTERIO DO DESENV. SOCIAL E COMBATE A FOME",1.07451357268736,69694,36157
1200401,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",0.786863103331079,189490,115748.25
1200401,"MINISTERIO DO ESPORTE",2.11215879910087,216012,65982.6666666667
1200401,"MINISTERIO DO MEIO AMBIENTE",1,14993,14993
1200401,"MINISTERIO DO TRABALHO E EMPREGO",1.19334985090001,38853,18261.6
1200401,"MINISTERIO DO TURISMO",-0.189589320169488,31445,42953.375
1200401,"Presidencia da República",1.6124380282448,140645,49224.8571428571
1200427,"MINISTERIO DA DEFESA",1,86347,86347
1200427,"MINISTERIO DA INTEGRACAO NACIONAL",-0.238709362710947,9626,9882.66666666667
1200427,"MINISTERIO DA SAUDE",1.42392791197541,39538,17542.75
1200427,"MINISTERIO DAS CIDADES",-0.266449359240799,19929,24865
