"n1","n2","n3","n4","n5","n6","origem","origem.nome","n1.nome","n2.nome","n3.nome"
2611606,4106902,1501402,4314902,5208707,3518800,1302603,"Manaus AM","Recife PE","Curitiba PR","Belém PA"
2917607,2600906,2704203,2800209,2804508,2928901,1302702,"Manicoré AM","Jaguaquara BA","Amaraji PE","Limoeiro de Anadia AL"
1504950,2206357,2105476,2202539,1303700,2208650,1302801,"Maraã AM","Nova Esperança do Piriá PA","Milton Brandão PI","Jenipapo dos Vieiras MA"
2928505,2908101,3171030,3146305,1300300,3170909,1302900,"Maués AM","Santa Teresinha BA","Cocos BA","Verdelândia MG"
1506906,2923704,1502855,2205524,2303006,2106102,1303007,"Nhamundá AM","Santarém Novo PA","Paratinga BA","Curuá PA"
2803203,3113008,2514800,2504900,2802403,1301308,1303106,"Nova Olinda do Norte AM","Itaporanga D'Ajuda SE","Caraí MG","São José dos Cordeiros PB"
1300839,2610202,2413904,2208106,2509800,2703106,1303205,"Novo Airão AM","Caapiranga AM","Panelas PE","Taipu RN"
1503507,2931608,2514107,2706422,2801702,2411601,1303304,"Novo Aripuanã AM","Irituia PA","Teolândia BA","São João do Tigre PB"
2307700,2305233,2303501,3152204,2309607,1502202,1303403,"Parintins AM","Maranguape CE","Horizonte CE","Cascavel CE"
1300409,1301506,2202703,2703304,2207553,2201988,1303502,"Pauini AM","Barcelos AM","Envira AM","Cocal PI"
1506203,3139300,3162609,4209706,4322376,3127370,1303536,"Presidente Figueiredo AM","Salinópolis PA","Manga MG","São João do Oriente MG"
2500700,2412807,2806206,2406007,2910503,2921906,1303569,"Rio Preto da Eva AM","São João do Rio do Peixe PB","São Rafael RN","Salgado SE"
2209658,1718501,2205565,2105963,1200351,1504950,1303601,"Santa Isabel do Rio Negro AM","São Francisco de Assis do Piauí PI","Recursolândia TO","Lagoa do Barro do Piauí PI"
2105476,1302801,2110237,1504950,2206357,2205565,1303700,"Santo Antônio do Içá AM","Jenipapo dos Vieiras MA","Maraã AM","Santana do Maranhão MA"
2900801,3159506,4107124,2919702,3135076,1101708,1303809,"São Gabriel da Cachoeira AM","Alcobaça BA","Santa Rita do Itueto MG","Diamante do Sul PR"
1500909,2206696,1508308,2112456,1300029,2206357,1303908,"São Paulo de Olivença AM","Augusto Corrêa PA","Murici dos Portelas PI","Viseu PA"
2926806,3148756,2920908,2511103,2701704,2104602,1303957,"São Sebastião do Uatumã AM","Rio do Antônio BA","Pedra Bonita MG","Mascote BA"
2927101,1703057,2308351,2308302,2301406,3127339,1304005,"Silves AM","Rodelas BA","Bandeirantes do Tocantins TO","Milhã CE"
2402600,1502939,2801306,1508209,2708600,2702405,1304062,"Tabatinga AM","Ceará-Mirim RN","Dom Eliseu PA","Capela SE"
2921500,2210953,2100154,2100956,2705002,2607505,1304104,"Tapauá AM","Monte Santo BA","Tamboril do Piauí PI","Água Doce do Maranhão MA"
3101706,2802908,2606408,1503606,2704708,2615003,1304203,"Tefé AM","Almenara MG","Itabaiana SE","Gravatá PE"
2913804,2905909,2210409,2110807,1301100,2503753,1304237,"Tonantins AM","Ipecaetá BA","Campo Alegre de Lourdes BA","São Miguel do Tapuio PI"
2514206,2921450,2604700,2608602,2200251,2909208,1304260,"Uarini AM","São José da Lagoa Tapada PB","Mirante BA","Correntes PE"
2106805,2402105,2313005,2108009,2311603,2301208,1304302,"Urucará AM","Mirinzal MA","Campo Redondo RN","Solonópole CE"
2924108,2410801,2313708,2930204,2408607,3142254,1304401,"Urucurituba AM","Pedrão BA","Riacho de Santana RN","Umari CE"
1501956,2106359,2202539,1301803,1501105,1500305,1400027,"Amajari RR","Cachoeira do Piriá PA","Marajá do Sena MA","Caraúbas do Piauí PI"
3166501,2923100,2511707,2209203,3160207,3127073,1400050,"Alto Alegre RR","Serra Azul de Minas MG","Olindina BA","Pilõezinhos PB"
3541000,5107602,2403251,3306305,4119905,5201108,1400100,"Boa Vista RR","Praia Grande SP","Rondonópolis MT","Parnamirim RN"
2905404,3148509,3134707,1716653,1708304,5100102,1400159,"Bonfim RR","Cairu BA","Pavão MG","Jacinto MG"
3145372,3140852,1710706,3152402,1716653,3108701,1400175,"Cantá RR","Novorizonte MG","Matias Cardoso MG","Itaguatins TO"
2411502,2804003,2408201,3144904,1200385,2203305,1400209,"Caracaraí RR","Santo Antônio RN","Maruim SE","Nísia Floresta RN"
2413003,3135605,2402303,2408508,1718881,2929057,1400233,"Caroebe RR","São Vicente RN","Jequitaí MG","Caraúbas RN"
