"n1","n2","n3","n4","n5","n6","origem","origem.nome","n1.nome","n2.nome","n3.nome"
1504901,2803203,1303106,1500958,1500305,1502806,1501782,"Breu Branco PA","Muaná PA","Itaporanga D'Ajuda SE","Nova Olinda do Norte AM"
2613008,1505809,1500701,2913507,1504505,1505908,1501808,"Breves PA","São Bento do Una PE","Portel PA","Anajás PA"
2210409,1301159,2202026,2206654,2926202,2207504,1501907,"Bujaru PA","São Miguel do Tapuio PI","Careiro da Várzea AM","Buriti dos Montes PI"
2924207,2908705,2202539,1300029,1400704,2500502,1501956,"Cachoeira do Piriá PA","Pedro Alexandre BA","Condeúba BA","Caraúbas do Piauí PI"
2504900,3108255,1508035,1400704,1500958,1507201,1502004,"Cachoeira do Arari PA","Cruz do Espírito Santo PB","Bonito de Minas MG","Tracuateua PA"
1505304,2103307,2101608,2314102,2402600,1504802,1502103,"Cametá PA","Oriximiná PA","Codó MA","Barra do Corda MA"
4219200,3500907,5001003,4115309,4200903,5205703,1502152,"Canaã dos Carajás PA","Vidal Ramos SC","Altair SP","Aparecida do Taboado MS"
1506500,2303501,2307700,2305233,2309607,2306405,1502202,"Capanema PA","Santa Isabel do Pará PA","Cascavel CE","Maranguape CE"
1303809,2914000,1300409,1505064,2615607,2611705,1502301,"Capitão Poço PA","São Gabriel da Cachoeira AM","Ipirá BA","Barcelos AM"
2111300,2918407,2211001,3518800,2704302,3303500,1502400,"Castanhal PA","São Luís MA","Juazeiro BA","Teresina PI"
1301951,1500859,1507458,1506583,3156007,2804102,1502509,"Chaves PA","Itamarati AM","Anapu PA","São Geraldo do Araguaia PA"
2104107,2604403,2313757,2511004,2307908,3146552,1502608,"Colares PA","Fortaleza dos Nogueiras MA","Chã de Alegria PE","Umirim CE"
2926608,2605103,2111508,2611804,2111102,2607703,1502707,"Conceição do Araguaia PA","Ribeira do Pombal BA","Custódia PE","São Mateus do Maranhão MA"
2925006,2613107,2108702,2603702,2905156,2500403,1502756,"Concórdia do Pará PA","Planalto BA","São Caitano PE","Pio Xii MA"
2920700,1507755,4127882,3204500,3108800,3154150,1502764,"Cumaru do Norte PA","Maraú BA","Sapucaia PA","Tunas do Paraná PR"
4115739,3113107,3106507,3165503,1713809,5214903,1502772,"Curionópolis PA","Mato Rico PR","Caranaíba MG","Berilo MG"
1505908,2933059,3113008,2912608,1504901,2932309,1502806,"Curralinho PA","Porto de Moz PA","Várzea da Roça BA","Caraí MG"
3170008,2106409,3132503,1303007,2412302,2205854,1502855,"Curuá PA","Ubaí MG","Mata Roma MA","Itamarandiba MG"
2614600,2306603,2109403,2105351,2610509,2706901,1502905,"Curuçá PA","Tabira PE","Itatira CE","Primeira Cruz MA"
2708600,2104800,2927002,2600500,2910602,2708501,1502939,"Dom Eliseu PA","São Miguel dos Campos AL","Grajaú MA","Rio Real BA"
2933505,2925501,1303502,3145356,2931806,1300409,1502954,"Eldorado dos Carajás PA","Wenceslau Guimarães BA","Prado BA","Pauini AM"
2111789,1501006,2930907,2904852,2512747,2209302,1503002,"Faro PA","Serrano do Maranhão MA","Aveiro PA","Tabocas do Brejo Velho BA"
